Locus_name,Genes
3q26.33_CNAamp,23200 6657 27074 100873416 106479305 131118 8087 106480914 54165 339829 106479479 56922 151613 51193 55669 59345 86 57129 4711 8975 51555 106480437
8q24.21_CNAamp,100507056 727677 5462
8p23.2_CNAdel,100873507 64478
11q13.3_CNAamp,100313770 8500 26579 595 220064 9965 2249 2248 55107 8772 2017 22941
7q21.3_CNAamp,5189 57798 2791 2792 257415 574442 10282 7980 100616206 6033 253012 219285 724023 54809 55610 84060 1021 799
9p13.3_CNAamp,768 7169 730112 6023 4882 100616214 106480928 84904 51754 158381 7094 84681 971 26206 9827 7016 27240 57704 392307 10488 203260 9853 692094
18p11.31_CNAamp,8736 10627 103910 106479239 7050 9229 26778 9663
9p21.3_CNAdel,1029 51198 4507 1030
