,Symbol,PAM_freq,MutSig2CV_qvalue,Fusion_freq,CNA_freq,CNA_locus,CNA_type,GISTIC_residual_q_value,Act_freq,LoF_freq,OM_type_selected,OM_empirical_p_value,OM_empirical_q_value,Genes_in_locus,Final_mutation_type,Final_freq,Delta_over_PAM,Pathway_Length,Pathway_Name,Somatically_Mutated_Genes,Amplified_Genes,Deleted_Genes,ME_pvalues
73,ACTG1P1,0.0,,,,,,,,,,,,,,,,1,,,,,
74,ACTG1P2,0.0,,,,,,,,,,,,,,,,1,,,,,
75,ACTG1P3,0.0,,,,,,,,,,,,,,,,1,,,,,
131149,OTOL1,0.010526315789473684,1.0,,,,,,,,,,,,,,,1,,,,,
81,ACTN4,0.031578947368421054,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
82,ACTG1P9,0.0,,,,,,,,,,,,,,,,1,,,,,
83,ACTG1P10,0.0,,,,,,,,,,,,,,,,1,,,,,
86,ACTL6A,0.007894736842105263,1.0,0.0,0.04736842105263158,3q26.33,Amp,0.0018563,0.05526315789473684,0.007894736842105263,Act,0.1765,0.22294736842105262,,,,,1,,,,,
87,ACTN1,0.018421052631578946,1.0,0.0,,,,,,,,,,,,,,1,,,,,
88,ACTN2,0.02368421052631579,1.0,0.0,,,,,,,,,,,,,,1,,,,,
89,ACTN3,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
90,ACVR1,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
91,ACVR1B,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
92,ACVR2A,0.002631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
93,ACVR2B,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
94,ACVRL1,0.013157894736842105,1.0,0.0,,,,,,,,,,,,,,1,,,,,
95,ACY1,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
97,ACYP1,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
98,ACYP2,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
100,ADA,0.010526315789473684,1.0,,,,,,,,,,,,,,,1,,,,,
101,ADAM8,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
102,ADAM10,0.02368421052631579,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
103,ADAR,0.02631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
104,ADARB1,0.002631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
105,ADARB2,0.021052631578947368,1.0,0.0,,,,,,,,,,,,,,1,,,,,
131177,FAM3D,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
107,ADCY1,0.013157894736842105,1.0,0.0,,,,,,,,,,,,,,1,,,,,
108,ADCY2,0.04736842105263158,1.0,0.005263157894736842,,,,,,,,,,,,,,1,,,,,
109,ADCY3,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
100133171,SPANXB2,0.0,,,,,,,,,,,,,,,,1,,,,,
111,ADCY5,0.02894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
112,ADCY6,0.02631578947368421,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
113,ADCY7,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
114,ADCY8,0.03684210526315789,0.6483057,0.0,,,,,,,,,,,,,,1,,,,,
115,ADCY9,0.018421052631578946,1.0,0.005263157894736842,,,,,,,,,,,,,,1,,,,,
116,ADCYAP1,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
117,ADCYAP1R1,0.013157894736842105,1.0,0.0,,,,,,,,,,,,,,1,,,,,
118,ADD1,0.018421052631578946,1.0,0.0,,,,,,,,,,,,,,1,,,,,
119,ADD2,0.021052631578947368,1.0,,,,,,,,,,,,,,,1,,,,,
120,ADD3,0.015789473684210527,1.0,0.0,,,,,,,,,,,,,,1,,,,,
131185,RAD23BP1,0.0,,,,,,,,,,,,,,,,1,,,,,
123,PLIN2,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
124,ADH1A,0.005263157894736842,0.8757176999999999,,,,,,,,,,,,,,,1,,,,,
125,ADH1B,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
126,ADH1C,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
127,ADH4,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
128,ADH5,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
130,ADH6,0.018421052631578946,1.0,0.0,,,,,,,,,,,,,,1,,,,,
131,ADH7,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
132,ADK,0.002631578947368421,1.0,0.005263157894736842,,,,,,,,,,,,,,1,,,,,
133,ADM,0.005263157894736842,0.8787545,,,,,,,,,,,,,,,1,,,,,
134,ADORA1,0.007894736842105263,1.0,,0.0,1q32.1,Del,0.033566,0.015789473684210527,0.007894736842105263,,,,,,,,1,,,,,
135,ADORA2A,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
136,ADORA2B,0.002631578947368421,1.0,0.002631578947368421,0.034210526315789476,17p12,Del,3.569e-05,0.005263157894736842,0.039473684210526314,,,,,,,,1,,,,,
137,ADORA2BP1,0.0,,,,,,,,,,,,,,,,1,,,,,
140,ADORA3,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
141,ADPRH,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
142,PARP1,0.015789473684210527,1.0,0.0,0.002631578947368421,1q32.1,Del,0.033566,0.018421052631578946,0.018421052631578946,,,,,,,,1,,,,,
143,PARP4,0.02631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
144,PARP1P1,0.0,,,,,,,,,,,,,,,,1,,,,,
145,PARP1P2,0.0,,,,,,,,,,,,,,,,1,,,,,
146,ADRA1D,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
147,ADRA1B,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
