Locus_name,Genes
9p21.3_CNAdel,51198 1029 1030
7q32.3_CNAamp,4289 136259 5420 407021 26958 407024 114960 100873502
8q24.13_CNAamp,4609 100859921 441376 5168 6713 7227 106479164 9788 100616255 169026 401474 100616260 157769 106479187 2131 23639 114788 4715 137835 114 50807 727677 23167 654463 8840 728724 106481813 26775 10397 137209 100379299 9897 157378 157381 3786 103164619 7373 6873 114907 79075 106479343 729330 4856 5885 55039 106480903 106479368 90390 57623 64798 79139 55093 312 100873529 100873530 28998 84294 100302161 6482 5462 106480983 10584 692063 100302175 22882 29028 286053 10086 6503 641384 56169 100302185 100500839 51571 4982 7038 100500863 340359 114569 407033 100750225 100302225 93594 684959 10656 51105 106479523 677800 100507056 100500914 677814 100130231 677822 84933 157638 100302281 100847051 27085 8667 3037 93668 11236 83940 137196 10221 11244 6641 407030 84985
