Locus_name,Genes
11q14.1_CNAamp,220032 5058 51773 65987 4647 92105 28971 79053 4718 283219 282679 9846 1207 57558 7069
8q24.21_CNAamp,4609 100750225 103164619 100507056 727677 5462 100302185 641384 100302161 100302175 100302281 106480903
1q44_CNAamp,116228 343563 106479119 257044 391189 79894 391190 391191 128025 391192 391194 391195 391196 163882 391211 23596 81458 10806 81466 81469 81470 81472 26696 401992 401993 401994 26188 441932 441933 127059 127062 127064 127066 127068 127069 1122 127074 100873316 127077 3192 127608 343169 343170 9859 343171 26245 26246 127623 343172 343173 100616343 388759 388761 159 106479275 106480836 100422856 64216 2271 100422879 10472 64754 267002 10000 57116 93474 25893 403239 55083 403244 25909 84288 51029 148823 84838 55657 284521 6000 100500849 8564 114548 284532 64388 51097 684959 254879 440738 9156 56776 80851 200150 200159 646627 79862 692215 7678
8p23.2_CNAdel,100873507 64478
1q21.3_CNAamp,80222 106479396 1893 55204 84072 4170 54507 2029 1520 23248 677822 100422997 106481086
