,Symbol,Type,Freq,Emp.p_value,q_value
1000000315_LoF,OncoSig::MTOR-UP.V1-UP,LoF,0.4489051094890511,0.902,1.0
1000000313_LoF,OncoSig::MTOR-UP.N4.V1-UP,LoF,0.4635036496350365,0.969,1.0
1000000329_LoF,OncoSig::PDGF-UP.V1-DN,LoF,0.4416058394160584,0.46,1.0
1000000422_LoF,hall::P53-PATHWAY,LoF,0.4635036496350365,0.984,1.0
1000000404_LoF,hall::GLYCOLYSIS,LoF,0.5364963503649635,0.575,1.0
1000000394_LoF,hall::CHOLESTEROL-HOMEOSTASIS,LoF,0.2518248175182482,0.921,1.0
1000000407_Act,hall::HYPOXIA,Act,0.5182481751824818,0.461,1.0
1000000385_LoF,OncoSig::YAP1-UP,LoF,0.16423357664233576,0.954,1.0
1000000392_Act,hall::APOPTOSIS,Act,0.4416058394160584,0.669,1.0
1000000414_LoF,hall::KRAS-SIGNALING-UP,LoF,0.5036496350364964,0.853,1.0
1000000379_LoF,OncoSig::TGFB-UP.V1-UP,LoF,0.48905109489051096,0.806,1.0
1000000377_LoF,OncoSig::TBK1.DN.48HRS-UP,LoF,0.23357664233576642,0.522,1.0
1000000375_LoF,OncoSig::TBK1.DF-UP,LoF,0.6204379562043796,0.64,1.0
1000000416_Act,hall::MTORC1-SIGNALING,Act,0.48905109489051096,0.726,1.0
1000000373_Act,OncoSig::STK33-UP,Act,0.5620437956204379,0.805,1.0
1000000372_LoF,OncoSig::STK33-SKM-UP,LoF,0.5766423357664233,0.82,1.0
1000000370_Act,OncoSig::STK33-NOMO-UP,Act,0.5985401459854015,0.587,1.0
1000000369_LoF,OncoSig::STK33-NOMO-DN,LoF,0.5875912408759124,0.814,1.0
1000000401_Act,hall::ESTROGEN-RESPONSE-LATE,Act,0.5218978102189781,0.429,1.0
1000000367_LoF,OncoSig::SRC-UP.V1-UP,LoF,0.36496350364963503,1.0,1.0
1000000360_Act,OncoSig::RPS14-DN.V1-UP,Act,0.4854014598540146,0.662,1.0
1000000358_LoF,OncoSig::RELA-DN.V1-UP,LoF,0.4489051094890511,0.719,1.0
1000000387_LoF,hall::ALLOGRAFT-REJECTION,LoF,0.4306569343065693,0.999,1.0
1000000355_Act,OncoSig::RB-P130-DN.V1-DN,Act,0.40875912408759124,0.527,1.0
