,Symbol,Type,Freq,Emp.p_value,q_value
1000000337_Act,OncoSig::PRC2-EED-DN.V1-DN,Act,0.5189873417721519,0.986,1.0
1000000341_Act,OncoSig::PRC2-SUZ12-UP.V1-DN,Act,0.5822784810126582,0.933,1.0
1000000366_Act,OncoSig::SRC-UP.V1-DN,Act,0.620253164556962,0.771,1.0
1000000380_Act,OncoSig::VEGF-A-UP.V1-DN,Act,0.5569620253164557,0.968,1.0
1000000369_Act,OncoSig::STK33-NOMO-DN,Act,0.7215189873417721,0.924,1.0
1000000144_Act,PID::PI3KCI-AKT-PATHWAY,Act,0.1518987341772152,0.794,1.0
1000000016_Act,PID::ARF-3PATHWAY,Act,0.10126582278481013,0.593,1.0
1000000406_Act,hall::HEME-METABOLISM,Act,0.6139240506329114,0.903,1.0
1000000407_Act,hall::HYPOXIA,Act,0.8037974683544303,0.334,1.0
1000000433_LoF,hall::UV-RESPONSE-UP,LoF,0.6962025316455697,0.526,1.0
1000000408_Act,hall::IL2-STAT5-SIGNALING,Act,0.5886075949367089,0.958,1.0
1000000314_Act,OncoSig::MTOR-UP.V1-DN,Act,0.46835443037974683,0.994,1.0
1000000404_Act,hall::GLYCOLYSIS,Act,0.7721518987341772,0.456,1.0
1000000409_Act,hall::IL6-JAK-STAT3-SIGNALING,Act,0.34810126582278483,0.856,1.0
1000000413_Act,hall::KRAS-SIGNALING-DN,Act,0.689873417721519,0.761,1.0
1000000414_Act,hall::KRAS-SIGNALING-UP,Act,0.6329113924050633,0.893,1.0
1000000428_Act,hall::SPERMATOGENESIS,Act,0.45569620253164556,0.922,1.0
1000000417_Act,hall::MYC-TARGETS-V1,Act,0.5126582278481012,0.989,1.0
1000000418_Act,hall::MYC-TARGETS-V2,Act,0.3227848101265823,0.608,1.0
1000000424_Act,hall::PEROXISOME,Act,0.4177215189873418,0.852,1.0
1000000419_Act,hall::MYOGENESIS,Act,0.7215189873417721,0.664,1.0
1000000410_Act,hall::INFLAMMATORY-RESPONSE,Act,0.6265822784810127,0.885,1.0
1000000403_Act,hall::G2M-CHECKPOINT,Act,0.6012658227848101,0.94,1.0
1000000401_Act,hall::ESTROGEN-RESPONSE-LATE,Act,0.5886075949367089,0.937,1.0
1000000399_Act,hall::EPITHELIAL-MESENCHYMAL-TRANSITION,Act,0.7088607594936709,0.709,1.0
1000000370_Act,OncoSig::STK33-NOMO-UP,Act,0.6518987341772152,0.994,1.0
1000000371_Act,OncoSig::STK33-SKM-DN,Act,0.7025316455696202,0.953,1.0
1000000373_Act,OncoSig::STK33-UP,Act,0.5949367088607594,1.0,1.0
1000000374_LoF,OncoSig::TBK1.DF-DN,LoF,0.7848101265822784,0.789,1.0
1000000375_Act,OncoSig::TBK1.DF-UP,Act,0.7468354430379747,0.901,1.0
1000000378_Act,OncoSig::TGFB-UP.V1-DN,Act,0.5189873417721519,0.988,1.0
1000000379_LoF,OncoSig::TGFB-UP.V1-UP,LoF,0.740506329113924,0.535,1.0
1000000423_Act,hall::PANCREAS-BETA-CELLS,Act,0.17088607594936708,0.822,1.0
1000000381_Act,OncoSig::VEGF-A-UP.V1-UP,Act,0.47468354430379744,0.997,1.0
1000000382_Act,OncoSig::WNT-UP.V1-DN,Act,0.4810126582278481,0.978,1.0
1000000383_Act,OncoSig::WNT-UP.V1-UP,Act,0.7278481012658228,0.542,1.0
1000000387_LoF,hall::ALLOGRAFT-REJECTION,LoF,0.8354430379746836,0.316,1.0
1000000388_Act,hall::ANDROGEN-RESPONSE,Act,0.2848101265822785,0.99,1.0
1000000389_Act,hall::ANGIOGENESIS,Act,0.22784810126582278,0.483,1.0
1000000392_Act,hall::APOPTOSIS,Act,0.5,0.959,1.0
1000000395_Act,hall::COAGULATION,Act,0.4810126582278481,0.9,1.0
1000000396_Act,hall::COMPLEMENT,Act,0.6518987341772152,0.843,1.0
1000000368_Act,OncoSig::STK33-DN,Act,0.7151898734177216,0.931,1.0
1000000312_Act,OncoSig::MTOR-UP.N4.V1-DN,Act,0.6012658227848101,0.864,1.0
1000000264_Act,OncoSig::GCNP-SHH-UP-LATE.V1-DN,Act,0.4936708860759494,0.986,1.0
1000000309_Act,OncoSig::MEK-UP.V1-UP,Act,0.5316455696202531,0.984,1.0
1000000147_Act,PID::PRL-SIGNALING-EVENTS-PATHWAY,Act,0.10759493670886076,0.723,1.0
1000000153_Act,PID::RAS-PATHWAY,Act,0.25316455696202533,0.303,1.0
1000000156_Act,PID::REG-GR-PATHWAY,Act,0.5253164556962026,0.379,1.0
1000000157_Act,PID::RET-PATHWAY,Act,0.33544303797468356,0.299,1.0
1000000166_Act,PID::S1P-S1P3-PATHWAY,Act,0.18354430379746836,0.469,1.0
1000000171_Act,PID::SYNDECAN-1-PATHWAY,Act,0.35443037974683544,0.38,1.0
1000000182_Act,PID::TGFBR-PATHWAY,Act,0.16455696202531644,0.97,1.0
1000000188_Act,PID::TRKR-PATHWAY,Act,0.4620253164556962,0.345,1.0
1000000192_Act,PID::VEGFR1-2-PATHWAY,Act,0.5,0.329,1.0
1000000197_Act,OncoSig::AKT-UP.V1-DN,Act,0.5632911392405063,0.96,1.0
1000000198_LoF,OncoSig::AKT-UP.V1-UP,LoF,0.7151898734177216,0.524,1.0
1000000199_Act,OncoSig::AKT-UP-MTOR-DN.V1-DN,Act,0.6265822784810127,0.85,1.0
1000000200_LoF,OncoSig::AKT-UP-MTOR-DN.V1-UP,LoF,0.7341772151898734,0.517,1.0
1000000205_Act,OncoSig::ATF2-UP.V1-DN,Act,0.5379746835443038,0.974,1.0
1000000207_LoF,OncoSig::ATM-DN.V1-DN,LoF,0.5886075949367089,0.637,1.0
1000000208_Act,OncoSig::ATM-DN.V1-UP,Act,0.569620253164557,0.774,1.0
1000000213_LoF,OncoSig::BCAT-GDS748-DN,LoF,0.34810126582278483,0.292,1.0
1000000215_Act,OncoSig::BMI1-DN.V1-DN,Act,0.379746835443038,0.995,1.0
1000000217_Act,OncoSig::BMI1-DN-MEL18-DN.V1-DN,Act,0.5379746835443038,0.849,1.0
1000000219_Act,OncoSig::BRCA1-DN.V1-DN,Act,0.3924050632911392,0.986,1.0
1000000221_Act,OncoSig::CAHOY-ASTROCYTIC,Act,0.3987341772151899,0.85,1.0
1000000139_Act,PID::P73PATHWAY,Act,0.45569620253164556,0.538,1.0
1000000224_LoF,OncoSig::CAHOY-OLIGODENDROCUTIC,LoF,0.4620253164556962,0.607,1.0
1000000128_Act,PID::NFAT-TFPATHWAY,Act,0.3037974683544304,0.456,1.0
1000000119_Act,PID::MTOR-4PATHWAY,Act,0.27848101265822783,0.87,1.0
1000000005_LoF,PID::ALPHA-SYNUCLEIN-PATHWAY,LoF,0.17088607594936708,0.626,1.0
1000000007_Act,PID::ANGIOPOIETIN-RECEPTOR-PATHWAY,Act,0.379746835443038,0.357,1.0
1000000012_Act,PID::AR-TF-PATHWAY,Act,0.23417721518987342,0.781,1.0
1000000018_Act,PID::ATM-PATHWAY,Act,0.22151898734177214,0.463,1.0
1000000019_Act,PID::ATR-PATHWAY,Act,0.26582278481012656,0.422,1.0
1000000021_LoF,PID::AURORA-B-PATHWAY,LoF,0.2974683544303797,0.29,1.0
1000000031_LoF,PID::CD8-TCR-DOWNSTREAM-PATHWAY,LoF,0.4177215189873418,0.41,1.0
1000000032_Act,PID::CD8-TCR-PATHWAY,Act,0.2911392405063291,0.619,1.0
1000000033_Act,PID::CDC42-PATHWAY,Act,0.43037974683544306,0.484,1.0
1000000052_Act,PID::EPO-PATHWAY,Act,0.2721518987341772,0.348,1.0
1000000053_Act,PID::ER-NONGENOMIC-PATHWAY,Act,0.34810126582278483,0.301,1.0
1000000059_Act,PID::ERBB2-ERBB3-PATHWAY,Act,0.35443037974683544,0.332,1.0
1000000062_Act,PID::FAK-PATHWAY,Act,0.3924050632911392,0.439,1.0
1000000065_Act,PID::FCER1-PATHWAY,Act,0.3860759493670886,0.463,1.0
1000000066_Act,PID::FGF-PATHWAY,Act,0.43037974683544306,0.322,1.0
1000000071_Act,PID::GMCSF-PATHWAY,Act,0.2911392405063291,0.331,1.0
1000000091_Act,PID::IL2-1PATHWAY,Act,0.3291139240506329,0.539,1.0
1000000095_Act,PID::IL4-2PATHWAY,Act,0.43670886075949367,0.395,1.0
1000000097_Act,PID::IL6-7-PATHWAY,Act,0.34177215189873417,0.409,1.0
1000000109_LoF,PID::INTEGRIN-A9B1-PATHWAY,LoF,0.15822784810126583,0.464,1.0
1000000118_Act,PID::MET-PATHWAY,Act,0.43670886075949367,0.571,1.0
1000000120_Act,PID::MYC-ACTIV-PATHWAY,Act,0.5443037974683544,0.315,1.0
1000000310_Act,OncoSig::MEL18-DN.V1-DN,Act,0.569620253164557,0.774,1.0
1000000225_Act,OncoSig::CAMP-UP.V1-DN,Act,0.6329113924050633,0.867,1.0
1000000231_Act,OncoSig::CRX-NRL-DN.V1-UP,Act,0.44936708860759494,0.947,1.0
1000000278_Act,OncoSig::JAK2-DN.V1-DN,Act,0.5,0.893,1.0
1000000281_LoF,OncoSig::JNK-DN.V1-UP,LoF,0.6265822784810127,0.755,1.0
1000000282_Act,OncoSig::KRAS.300-UP.V1-DN,Act,0.620253164556962,0.614,1.0
1000000286_Act,OncoSig::KRAS.600.LUNG.BREAST-UP.V1-DN,Act,0.7531645569620253,0.888,1.0
1000000288_Act,OncoSig::KRAS.600-UP.V1-DN,Act,0.7911392405063291,0.772,1.0
1000000290_LoF,OncoSig::KRAS.AMP.LUNG-UP.V1-DN,LoF,0.569620253164557,0.641,1.0
1000000291_Act,OncoSig::KRAS.AMP.LUNG-UP.V1-UP,Act,0.6075949367088608,0.649,1.0
1000000292_LoF,OncoSig::KRAS.BREAST-UP.V1-DN,LoF,0.5759493670886076,0.657,1.0
1000000293_Act,OncoSig::KRAS.BREAST-UP.V1-UP,Act,0.5126582278481012,0.86,1.0
1000000294_Act,OncoSig::KRAS.DF.V1-DN,Act,0.7088607594936709,0.674,1.0
1000000295_LoF,OncoSig::KRAS.DF.V1-UP,LoF,0.740506329113924,0.572,1.0
1000000296_LoF,OncoSig::KRAS.KIDNEY-UP.V1-DN,LoF,0.5632911392405063,0.643,1.0
1000000297_Act,OncoSig::KRAS.KIDNEY-UP.V1-UP,Act,0.569620253164557,0.725,1.0
1000000298_Act,OncoSig::KRAS.LUNG.BREAST-UP.V1-DN,Act,0.5949367088607594,0.678,1.0
1000000299_LoF,OncoSig::KRAS.LUNG.BREAST-UP.V1-UP,LoF,0.5886075949367089,0.636,1.0
1000000300_Act,OncoSig::KRAS.LUNG-UP.V1-DN,Act,0.569620253164557,0.725,1.0
1000000301_LoF,OncoSig::KRAS.LUNG-UP.V1-UP,LoF,0.6265822784810127,0.573,1.0
1000000302_Act,OncoSig::KRAS.PROSTATE-UP.V1-DN,Act,0.620253164556962,0.602,1.0
1000000303_LoF,OncoSig::KRAS.PROSTATE-UP.V1-UP,LoF,0.5253164556962026,0.706,1.0
1000000305_LoF,OncoSig::LEF1-UP.V1-UP,LoF,0.7784810126582279,0.508,1.0
1000000307_Act,OncoSig::LTE2-UP.V1-UP,Act,0.5569620253164557,0.948,1.0
1000000277_LoF,OncoSig::IL2-UP.V1-UP,LoF,0.5886075949367089,0.808,1.0
1000000229_Act,OncoSig::CRX-DN.V1-UP,Act,0.3987341772151899,0.982,1.0
1000000276_Act,OncoSig::IL2-UP.V1-DN,Act,0.5886075949367089,0.911,1.0
1000000274_Act,OncoSig::IL21-UP.V1-DN,Act,0.6392405063291139,0.827,1.0
1000000235_Act,OncoSig::CSR-LATE-UP.V1-UP,Act,0.5569620253164557,0.903,1.0
1000000236_LoF,OncoSig::CTIP-DN.V1-DN,LoF,0.5569620253164557,0.623,1.0
1000000239_LoF,OncoSig::CYCLIN-D1-KE-.V1-UP,LoF,0.7658227848101266,0.523,1.0
1000000242_Act,OncoSig::DCA-UP.V1-DN,Act,0.6075949367088608,0.889,1.0
1000000243_LoF,OncoSig::DCA-UP.V1-UP,LoF,0.620253164556962,0.758,1.0
1000000244_Act,OncoSig::E2F1-UP.V1-DN,Act,0.5822784810126582,0.913,1.0
1000000245_Act,OncoSig::E2F1-UP.V1-UP,Act,0.5,0.989,1.0
1000000246_LoF,OncoSig::E2F3-UP.V1-DN,LoF,0.5443037974683544,0.803,1.0
1000000247_Act,OncoSig::E2F3-UP.V1-UP,Act,0.5126582278481012,0.987,1.0
1000000248_Act,OncoSig::EGFR-UP.V1-DN,Act,0.5949367088607594,0.885,1.0
1000000253_Act,OncoSig::ERBB2-UP.V1-UP,Act,0.43670886075949367,0.998,1.0
1000000254_Act,OncoSig::ESC-J1-UP-EARLY.V1-DN,Act,0.5189873417721519,0.956,1.0
1000000255_Act,OncoSig::ESC-J1-UP-EARLY.V1-UP,Act,0.6139240506329114,0.818,1.0
1000000256_Act,OncoSig::ESC-J1-UP-LATE.V1-DN,Act,0.4810126582278481,0.987,1.0
1000000257_Act,OncoSig::ESC-J1-UP-LATE.V1-UP,Act,0.569620253164557,0.931,1.0
1000000259_LoF,OncoSig::ESC-V6.5-UP-EARLY.V1-UP,LoF,0.6329113924050633,0.657,1.0
1000000263_Act,OncoSig::GCNP-SHH-UP-EARLY.V1-UP,Act,0.6012658227848101,0.847,1.0
1000000265_LoF,OncoSig::GCNP-SHH-UP-LATE.V1-UP,LoF,0.5316455696202531,0.909,1.0
1000000271_Act,OncoSig::HOXA9-DN.V1-UP,Act,0.5443037974683544,0.963,1.0
1000000272_Act,OncoSig::IL15-UP.V1-DN,Act,0.5569620253164557,0.939,1.0
1000000273_Act,OncoSig::IL15-UP.V1-UP,Act,0.5886075949367089,0.918,1.0
1000000275_Act,OncoSig::IL21-UP.V1-UP,Act,0.6012658227848101,0.896,1.0
1000000038_LoF,PID::CONE-PATHWAY,LoF,0.10759493670886076,0.794,1.0
