Locus_name,Genes
3p22.2_CNAdel,23171 54918 100151687 643853 10777 9881 106481818 10015 339883 645548 7342 25904 26032 100873398 100873399 85443 4292 51143 131405 1233 23122 25827 112616 106481003 6769 2803 9209 10491 9852 152189
5q35.1_CNAamp,2561 653316 2566 83463 2568 3593 51720 55819 100616202 23567 9232 85007 11282 11285 23061 92181 442908 3101 345630 27166 79908 54825 100616234 9260 2554 57396 100131897 79930 10814 9794 729678 23120 3161 1627 7265 23138 114787 30820 57451 3182 30832 2161 8817 3187 2172 54908 57472 153222 91272 6793 90249 114825 92304 147 4245 662 26262 26778 26780 23197 53917 100873889 8878 1212 375484 3779 3274 10960 114898 106480851 2264 9945 54492 51428 153830 80108 106480880 133874 106479348 100873461 23286 2299 23291 643836 79616 1794 4869 64777 54540 1812 2324 100422938 6940 5917 79646 192286 8992 51491 9509 27430 100422962 100616498 1843 821 2870 22838 30012 64324 10569 100302156 106480467 1879 57179 134492 100500831 3937 84321 55651 2916 80230 117608 134510 406895 106479472 345456 133491 345462 80758 100302203 94081 253314 644994 900 64901 57222 91522 4488 646019 106480522 10636 285588 202134 285590 406938 285596 285598 51617 8614 6569 63920 51121 729522 693170 100847029 6586 80315 692158 677822 255426 134083 106481099 54732 51149 677841 4056 6620 5601 107057644 285676 285679 5626 729595 2559
3p25.3_CNAdel,10752 117248 79885 7182 6161 56852 55831 23066 375323 26140 51738 55845 84522 619563 51244 106479159 106480696 23609 9797 100126791 3656 100126793 1618 115795 8292 84077 27255 27258 3708 100126334 2177 78987 23180 100616334 64145 2199 348825 106479274 9901 100132526 686 100873393 100873394 84657 285362 7862 285367 285368 23225 285370 23228 285375 9922 285381 6854 3269 23243 152273 100422868 10474 29931 152302 106480371 9467 6396 7428 5894 152330 6419 100422933 151835 57633 10533 344875 29995 7476 106480953 25917 100422990 84818 7508 79188 8536 859 5468 2917 4968 8553 80746 10093 51066 131965 6529 6533 106480518 6538 6030 131474 51095 85403 693148 5021 132001 64419 7079 55207 55209 132014 64432 23473 100500913 63924 92106 26061 80852 9686 9695 491 3568 51185 100996597 55287
