,Symbol,Type,Freq,Emp.p_value,q_value
1000000064_Act,PID::FAS-PATHWAY,Act,0.1375,1.0,1.0
1000000065_Act,PID::FCER1-PATHWAY,Act,0.2125,1.0,1.0
1000000181_Act,PID::TELOMERASE-PATHWAY,Act,0.2375,1.0,1.0
1000000067_Act,PID::FOXM1-PATHWAY,Act,0.2375,1.0,1.0
1000000072_Act,PID::HDAC-CLASSI-PATHWAY,Act,0.175,1.0,1.0
1000000074_Act,PID::HDAC-CLASSIII-PATHWAY,Act,0.1375,1.0,1.0
1000000076_Act,PID::HEDGEHOG-GLI-PATHWAY,Act,0.25,1.0,1.0
1000000080_Act,PID::HIF2PATHWAY,Act,0.2375,1.0,1.0
1000000092_Act,PID::IL2-PI3K-PATHWAY,Act,0.2125,1.0,1.0
1000000097_Act,PID::IL6-7-PATHWAY,Act,0.2375,1.0,1.0
1000000102_LoF,PID::INSULIN-PATHWAY,LoF,0.25,0.423,1.0
1000000113_Act,PID::LKB1-PATHWAY,Act,0.25,1.0,1.0
1000000119_Act,PID::MTOR-4PATHWAY,Act,0.25,1.0,1.0
1000000121_Act,PID::MYC-PATHWAY,Act,0.225,0.992,1.0
1000000122_Act,PID::MYC-REPRESS-PATHWAY,Act,0.2625,1.0,1.0
1000000126_Act,PID::NETRIN-PATHWAY,Act,0.1875,1.0,1.0
1000000133_Act,PID::P38-ALPHA-BETA-PATHWAY,Act,0.2,0.999,1.0
1000000157_Act,PID::RET-PATHWAY,Act,0.2375,1.0,1.0
1000000068_Act,PID::FOXO-PATHWAY,Act,0.225,1.0,1.0
1000000349_Act,OncoSig::RAPA-EARLY-UP.V1-DN,Act,0.5125,0.72,1.0
1000000348_Act,OncoSig::RAF-UP.V1-UP,Act,0.3875,0.946,1.0
1000000347_Act,OncoSig::RAF-UP.V1-DN,Act,0.425,0.872,1.0
1000000222_LoF,OncoSig::CAHOY-ASTROGLIAL,LoF,0.2875,0.738,1.0
1000000221_Act,OncoSig::CAHOY-ASTROCYTIC,Act,0.275,1.0,1.0
1000000220_Act,OncoSig::BRCA1-DN.V1-UP,Act,0.3,0.999,1.0
1000000219_Act,OncoSig::BRCA1-DN.V1-DN,Act,0.325,0.987,1.0
1000000218_Act,OncoSig::BMI1-DN-MEL18-DN.V1-UP,Act,0.3625,0.929,1.0
1000000217_Act,OncoSig::BMI1-DN-MEL18-DN.V1-DN,Act,0.35,0.957,1.0
1000000216_Act,OncoSig::BMI1-DN.V1-UP,Act,0.35,0.958,1.0
1000000215_Act,OncoSig::BMI1-DN.V1-DN,Act,0.3125,0.989,1.0
1000000214_Act,OncoSig::BCAT-GDS748-UP,Act,0.25,1.0,1.0
1000000211_Act,OncoSig::BCAT-BILD-ET-AL-DN,Act,0.2625,0.998,1.0
1000000208_Act,OncoSig::ATM-DN.V1-UP,Act,0.3125,0.998,1.0
1000000207_Act,OncoSig::ATM-DN.V1-DN,Act,0.325,0.992,1.0
1000000206_Act,OncoSig::ATF2-UP.V1-UP,Act,0.35,0.995,1.0
